name,count
Anna Beauty & Wellness,2
Anna K. First and Secondhand Fashion,2
Annabelle,4
Annanail,2
"Anne Flore, titulaire Bovet Catherine",2
Anne Françoise Genolet Magnin,3
"Annemarie Rytz-Prisi, Physiotherapeutin",2
Annette Eppenberger,4
Anrofa SA,3
Anshin SA,3
Antalya Kebab Pizza Et Kebab,2
Antalya-Express-Kebap Sàrl,2
Anthony Immobilier,2
Antica Gelateria Fiorentina,2
Antica Posta AG,2
Antigoni GmbH,2
Antipasteria La Barca GmbH,2
Antiquariat Gerber,3
"Antiquités Edmond Lutz, Inh. Krimmer Oliver",2
Antoine et Lili,4
Antonio Buongiorno AG,2
Anwalt & Notar Alain P. Anderhub,4
Anwalt und Notar Alain Friedrich,3
Anwaltsbuero Dr. Oliver Sidler,2
Anwaltsbüro Dr. iur. Béatrice Grob-Andermacher,2
Anwaltsbüro Dr. jur. Jürg Geiger,2
Anwaltskanzlei + Notariat Weber Kamer,2
Anwaltskanzlei Bolzern Haas & Partner,2
Anwaltskanzlei Kiener & Nellen,5
Anwaltskanzlei Seidenhof,4
Anwaltskanzlei Vonmoos,3
Apartment Old City Lucerne,2
Apartment Regina,2
Apawi Pure Lounge,2
"Apcoa Parking Switzerland AG, Centralbahnparking",2
Aperto,7
Aperto Lausanne,3
Apex Leisure Group GmbH,3
Apollo,4
Apollo Gym / Physio Fit Zentrum,2
Apollonia-Dental-Praxis Dr. med. dent. H. Daschti,2
Apotheke 55,2
Apotheke Dr. Ch. Tschupp,2
Apotheke Drogerie Hirsig GmbH,2
Apotheke Engelberg,2
Apotheke Hemmann,2
Apotheke Hotz,4
Apotheke Hörning,5
Apotheke Seeland,2
Apotheke Tschupp,2
Apotheke Wyss,2
Apotheke Zur Rose,2
Apotheke am Lindenplatz,2
Apotheke im Gärtnerhaus Hunkeler & Partner,2
Apotheke zur Mühlebrücke,2
Apparence Coiffure,3
Aqua Lounge,2
Aquadolce,2
Aquilon Luxe GmbH,2
Aqx Technologies AG,2
Arabafenice SA,2
Arbeitsgericht,2
Arbeitslosenkasse UNIA,2
Arc en Ciel Voyages - G. Waeber,3
Arc-en-Ciel,3
Arcado SA,3
Arche Noah Das Zoofachgeschäft,2
Arche Schuhe,4
Archivio storico e Museo Rainis e Aspazija,2
Archstrasse/HB,2
Arco Dei Siori,3
Arco dei Fiori Erdogan,3
Arealis AG,2
Arebane Sàrl,3
Arena Cinemas,3
Argoviesion AG für unabhängige Versicherungsanalysen und,2
Aria Service GmbH,2
Ariane Kosmetik,2
Ariba Aparthotel Basel apartments for rent,2
Ariba Switzerland GmbH,3
Aricon Treuhand AG,2
Arife Jordan GmbH,2
Arlecchino Luzern,2
Arlequin,2
Armin Sahli & Daniel Schneuwly & Joachim Lerf,3
Arn & Hess AG,2
Arnage SA,2
Arnold Betten GmbH,2
Arnold's Jeans-Corner,2
Aros Investment Sagl,2
Art & emotion fine art gallery,2
Art Collection Yavuz,2
Art Creation Hair • AVEDA Produkte • Olaplex,2
Art Line Coiffure,3
Art Mathieu,2
Art Visage,2
Art Visual,2
Art beauté,2
Art of Beauty,5
Art of Beauty Padrutt,2
Art of Travel AG,2
Arta Immobilien AG,2
Arte Flamenco (Pedro Navarro),2
Arte Vista Opticiens Clarens,2
Arte e Fiori,2
ArteMorfosis - Kubanische Kunst in Zürich,2
Artebianca,2
Arthur et Lola,2
Artimy Auto Electro Retro,2
Artnail Nagelstudios,2
Arton Musikaufnahmen und Postproduction Malgorzata Albinska Frank,2
Artstübli,3
Arztpraxis Dr. G. Magyar & Co.,3
Arztpraxis Dr. med. Sarah Berger,2
Arztpraxis Schmid,2
Asarav Baktat | Asarav Distributions AG,2
Asia Express,4
Asia Imbiss Wok Tran Van,2
Asia Town,2
Asia Wok,2
Asian Food Restaurant GmbH,2
Asporta GmbH Verwaltungen & Immobilien,2
Association Valaisanne de la randonnée VALRANDO,3
Assurimo S.A.,2
Astarte SA,2
Astra Trading Sàrl,2
Asya barber shop,2
Atala Naturopathie,3
Atelier Bar,2
Atelier Barbara Sorgen,3
Atelier Bern GmbH,3
Atelier Casaquin,3
Atelier Classic Bar,3
Atelier Forme,2
Atelier Glam,3
Atelier Kulta,3
"Atelier Maïthé Basel: exklusiver Schmuck, Silberschmuck, Edelsteinschmuck",2
Atelier Stähli AG,3
Atelier de Beauté Gegaj,2
Atelier del Bosco - Make-up professionale,3
Atelier für Rahmengestaltung,2
Atemtherapie-Kurse Jacqueline Schenk,2
Athemis,3
Athena Drogerie,2
Athena School - Lausanne,3
Atinvesting S.a.,3
Ativa Relocation Services Zurich,3
Atlanterra AG,2
AtlasPROfilax Brigitte Besse | argilor.ch,2
Atmosph'hair,3
Atria Immobilien GmbH,2
Attegia AG,2
Attom Shop SA,2
Attrac Tiff Coiffure Salon Sabine Staedelin,3
Atupri Assurance de la santé,2
Au Bouton d Or,3
Au Fil de l'Eau - Restaurant & hôtel,2
Au Four du Bry SA,2
Au Grain d'Orge Bernard Schneider,3
Au Modélisme,3
Au Numismate,3
Au Petit Chalet,2
Au Pistyle,2
Au Rendez-Vous,2
Au Tigre Royal S.A.,3
Au Tigre Vanillé,4
Au Travers D'une Odyssee Coppey,2
Au Trésor - Gold and Numismatics AG,2
Auberg'Inn,3
Audika,2
Audika hörselklinik,32
Audio Aebersold AG,2
Audio-Video-Informatique SA,3
Aufrichtung - Thomas Stulz,2
AugenArzt Visio Dr. J. Menzi Augenarzt AG,2
AugenCentrum Zytglogge,5
Augenarzt Dr. med. Martin Hablützel,3
Augenarzt Hasler,2
Augenarztpraxis Dr. Hamacher,3
Augenarztpraxis Herr Dr. med. Norbert Fassbender,2
Augenarztpraxis Thalwil,2
Augenarztpraxis am Marktplatz (Dres. med. Philipp August u. Niccolò Pellanda),2
Augenzentrum Bahnhof Basel AG,2
Augenärzte Zug,3
Augenärzte Zürich - Zentrum Wallisellen,2
"Auguste Ridley, Arzt für Allgemeinmedizin",3
Aung Kyaw GmbH,2
Auraria Goldschmiedekunst,2
Aurax Electro AG,2
Auris Relocation AG,4
Aurora 2000 AG,2
Aurora Food Sagl,2
Auszeit-Schönheit,2
AuszeitInsel Gabriela Achermann,2
Autentica SA,3
Auto Lumiere Sàrl,3
Autogewerbeverband der Kantone Bern + Jura,3
Autoquality Sagl,2
Autosilo Balestra,3
Autosilo Motta,2
Autosilo San Giuseppe,3
Aux Arts du Feu,3
Aux Gourmet,3
Avantapres GmbH,2
Avec,3
Avec-Shop,2
Avec.,4
Avelton Group AG,2
Avenue de la Gare 29 S.A.,3
Avia,4
Avia Nüschelerstrasse,2
Avis Autovermietung Lausanne,3
Avocat A Marca Jean-Christophe,2
Avocat Arev Salamolard-Yildiz,3
Avocat Friolet Pascal,2
Avocat Squaratti Hans-Anton,3
"Avocat Urscheler, Fabien",2
Avocats et notaire Bulle,2
Avvocati Brenni Bianca Maria,2
Avvocati Eusebio Luca,2
Aws,2
Axalo Immobilien AG,2
Azur Valais Sàrl,2
B & B Basel GmbH,2
B & B Ristora Sagl,2
B & S Finance Sa,2
B Beautiful,2
B. Yoga Basel,2
"B.I.D., Building Investments Development SA",2
B.d. Investissements SA,2
B3: Bières et Bars à Bulle,2
"BABA J Lugano, Concept Store - Shopping & much more...",2
"BABOR BEAUTY SPA, train - cosmetics, wellness and spa",2
BANK-now,3
BAR A CLOPE,2
BARBAR,3
BARTERRE,2
BAUNAT Suisse,2
BAYARD CO LTD,3
BAYARD CO LTD MEN,5
BAYARD CO LTD PREMIUM,2
BAYARD CO LTD WOMEN,16
